Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.9099999999999999,symmetric,0.4455538545641267
100% Corpus,5,symmetric,0.01,0.4439165512865171
100% Corpus,5,symmetric,0.31,0.39430463602486326
100% Corpus,5,symmetric,0.61,0.41428741989732903
100% Corpus,5,symmetric,0.9099999999999999,0.40616295503576866
100% Corpus,5,symmetric,symmetric,0.43482692240195603
100% Corpus,5,asymmetric,0.01,0.42102404259525866
100% Corpus,5,asymmetric,0.31,0.3681247287958723
100% Corpus,5,asymmetric,0.61,0.42540185960528315
100% Corpus,5,asymmetric,0.9099999999999999,0.4358000008056352
100% Corpus,5,asymmetric,symmetric,0.41321278916853255
100% Corpus,6,0.01,0.01,0.4164705538275708
100% Corpus,6,0.01,0.31,0.4217934174039093
100% Corpus,6,0.01,0.61,0.4053388998128722
100% Corpus,6,0.01,0.9099999999999999,0.40621789589623886
100% Corpus,6,0.01,symmetric,0.42935278721226694
100% Corpus,6,0.31,0.01,0.4233625406092914
100% Corpus,6,0.31,0.31,0.41174851458393685
100% Corpus,6,0.31,0.61,0.40103982843072633
100% Corpus,6,0.31,0.9099999999999999,0.40086550049414105
100% Corpus,6,0.31,symmetric,0.43340959816826047
100% Corpus,6,0.61,0.01,0.45149804786500886
100% Corpus,6,0.61,0.31,0.4372736873078082
100% Corpus,6,0.61,0.61,0.41266920292340603
100% Corpus,6,0.61,0.9099999999999999,0.3959985748465449
100% Corpus,6,0.61,symmetric,0.4400667859292335
100% Corpus,6,0.9099999999999999,0.01,0.4465718404992671
100% Corpus,6,0.9099999999999999,0.31,0.44990523368170804
100% Corpus,6,0.9099999999999999,0.61,0.42083175676918505
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.38293862846436194
100% Corpus,6,0.9099999999999999,symmetric,0.44959702275055863
100% Corpus,6,symmetric,0.01,0.4284550054957408
100% Corpus,6,symmetric,0.31,0.41102963573106593
100% Corpus,6,symmetric,0.61,0.40533889981287224
100% Corpus,6,symmetric,0.9099999999999999,0.4051645718762869
100% Corpus,6,symmetric,symmetric,0.43352388787521173
100% Corpus,6,asymmetric,0.01,0.43740878323962074
100% Corpus,6,asymmetric,0.31,0.4273954691053883
100% Corpus,6,asymmetric,0.61,0.42779264148935786
100% Corpus,6,asymmetric,0.9099999999999999,0.4138337264505096
100% Corpus,6,asymmetric,symmetric,0.44129351557010943
100% Corpus,7,0.01,0.01,0.3756521566063006
100% Corpus,7,0.01,0.31,0.3800210668048081
100% Corpus,7,0.01,0.61,0.3941423649627027
100% Corpus,7,0.01,0.9099999999999999,0.4803253470536774
100% Corpus,7,0.01,symmetric,0.3797890620714585
100% Corpus,7,0.31,0.01,0.3985006287690621
100% Corpus,7,0.31,0.31,0.3757988534534428
100% Corpus,7,0.31,0.61,0.3895587480894294
